Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,transport along microtubule (GO:0010970),1/13,0.0193310605643026,0.0895037919686254,0,0,57.35057471264368,226.30778348154325,APP
GO_Biological_Process_2021,regulation of nucleocytoplasmic transport (GO:0046822),1/13,0.0193310605643026,0.0895037919686254,0,0,57.35057471264368,226.30778348154325,IFI27
GO_Biological_Process_2021,myelination in peripheral nervous system (GO:0022011),1/13,0.0193310605643026,0.0895037919686254,0,0,57.35057471264368,226.30778348154325,ADGRG6
GO_Biological_Process_2021,protein localization to mitochondrion (GO:0070585),1/13,0.0193310605643026,0.0895037919686254,0,0,57.35057471264368,226.30778348154325,LRRK2
GO_Biological_Process_2021,negative regulation of cell activation (GO:0050866),1/14,0.02080301457834,0.0895037919686254,0,0,52.93633952254642,205.00430545239047,THBD
GO_Biological_Process_2021,negative regulation of coagulation (GO:0050819),1/14,0.02080301457834,0.0895037919686254,0,0,52.93633952254642,205.00430545239047,THBD
GO_Biological_Process_2021,positive regulation of long-term synaptic potentiation (GO:1900273),1/14,0.02080301457834,0.0895037919686254,0,0,52.93633952254642,205.00430545239047,APP
GO_Biological_Process_2021,positive regulation of lymphocyte migration (GO:2000403),1/14,0.02080301457834,0.0895037919686254,0,0,52.93633952254642,205.00430545239047,APP
GO_Biological_Process_2021,cellular copper ion homeostasis (GO:0006878),1/14,0.02080301457834,0.0895037919686254,0,0,52.93633952254642,205.00430545239047,APP
GO_Biological_Process_2021,regulation of IRE1-mediated unfolded protein response (GO:1903894),1/14,0.02080301457834,0.0895037919686254,0,0,52.93633952254642,205.00430545239047,AGR2
GO_Biological_Process_2021,myeloid dendritic cell activation (GO:0001773),1/14,0.02080301457834,0.0895037919686254,0,0,52.93633952254642,205.00430545239047,DHRS2
GO_Biological_Process_2021,response to cytokine (GO:0034097),2/150,0.0211864844342244,0.0895037919686254,0,0,9.566602316602316,36.87343378412446,APP;PTPN4
GO_Biological_Process_2021,regulation of cytokine production (GO:0001817),2/150,0.0211864844342244,0.0895037919686254,0,0,9.566602316602316,36.87343378412446,TXK;IRF8
GO_Biological_Process_2021,phosphorylation (GO:0016310),3/400,0.0216173325493591,0.0895037919686254,0,0,5.478029666946544,21.00418922676741,APP;LRRK2;TXK
